file_name,NOSE_x,NOSE_y,NOSE_score,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_score,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_score,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_score,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_score,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_score,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_score,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_score,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_score,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_score,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_score,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_score,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_score,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_score,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_score,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_score,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_score,class_no,class_name
downdog/00000128.jpg,368.0,400.0,0.69608635,348.0,401.0,0.64146686,349.0,398.0,0.6669891,331.0,363.0,0.7589572,329.0,360.0,0.73753405,364.0,306.0,0.69225395,356.0,288.0,0.78291243,252.0,410.0,0.86261976,255.0,384.0,0.5760437,131.0,470.0,0.5674988,141.0,434.0,0.7441661,543.0,66.0,0.6895919,530.0,66.0,0.69084024,675.0,267.0,0.77478725,658.0,269.0,0.80302143,785.0,444.0,0.9303349,738.0,431.0,0.67978835,0,downdog
downdog/00000129.jpg,250.0,324.0,0.6146083,237.0,315.0,0.5438688,235.0,315.0,0.6215818,247.0,280.0,0.94460493,244.0,280.0,0.9300482,287.0,266.0,0.89807403,283.0,259.0,0.799377,210.0,357.0,0.6905519,211.0,342.0,0.6893716,119.0,408.0,0.88360316,125.0,393.0,0.70873916,440.0,89.0,0.8499269,435.0,89.0,0.77064574,528.0,247.0,0.69418335,525.0,247.0,0.7678761,608.0,386.0,0.8008542,596.0,374.0,0.6787476,0,downdog
downdog/00000130.jpg,479.0,589.0,0.72362554,448.0,591.0,0.68015426,446.0,587.0,0.679948,406.0,530.0,0.60470057,406.0,530.0,0.5906688,471.0,420.0,0.7479109,472.0,414.0,0.5649539,318.0,597.0,0.68562675,326.0,568.0,0.7042624,156.0,719.0,0.82014084,189.0,660.0,0.6071279,807.0,150.0,0.8118679,806.0,144.0,0.7103062,848.0,475.0,0.84193075,847.0,469.0,0.8002207,1116.0,653.0,0.88746226,1072.0,622.0,0.9018073,0,downdog
downdog/00000131.jpg,301.0,175.0,0.6440346,295.0,181.0,0.7388663,292.0,180.0,0.63042283,274.0,178.0,0.7018032,271.0,175.0,0.56895727,267.0,144.0,0.6435411,249.0,144.0,0.5501367,226.0,224.0,0.7570108,194.0,202.0,0.7250005,211.0,240.0,0.28624228,150.0,235.0,0.61802745,363.0,30.0,0.8378158,338.0,41.0,0.7974181,411.0,137.0,0.61177146,385.0,142.0,0.7682442,448.0,235.0,0.7234696,408.0,227.0,0.73569775,0,downdog
downdog/00000132.png,915.0,485.0,0.63359725,943.0,494.0,0.56793535,943.0,492.0,0.7385811,980.0,439.0,0.7428555,977.0,440.0,0.7471807,931.0,364.0,0.47763556,927.0,361.0,0.6856138,1032.0,520.0,0.6467082,1035.0,527.0,0.7924268,1097.0,584.0,0.6612166,1118.0,594.0,0.1958617,681.0,142.0,0.69823027,671.0,125.0,0.7903132,571.0,392.0,0.8320003,555.0,391.0,0.6316345,477.0,594.0,0.73211,465.0,597.0,0.45358875,0,downdog
downdog/00000133.jpg,588.0,563.0,0.7763048,571.0,568.0,0.6443912,571.0,566.0,0.6441463,549.0,541.0,0.81269443,550.0,540.0,0.7461952,570.0,485.0,0.8082689,566.0,481.0,0.74755275,494.0,585.0,0.77800596,498.0,575.0,0.7179713,415.0,638.0,0.77315974,425.0,620.0,0.7905372,703.0,301.0,0.81347126,701.0,301.0,0.65189886,810.0,452.0,0.800826,809.0,454.0,0.9198544,903.0,592.0,0.88540316,890.0,586.0,0.85455483,0,downdog
downdog/00000134.jpg,773.0,890.0,0.6597966,729.0,896.0,0.7628984,726.0,893.0,0.81646264,653.0,812.0,0.71996665,655.0,816.0,0.7033049,743.0,654.0,0.82966465,750.0,657.0,0.7957546,511.0,897.0,0.6644926,515.0,880.0,0.7979794,372.0,1041.0,0.3499682,402.0,978.0,0.5235678,1167.0,274.0,0.7853488,1159.0,286.0,0.61836976,1476.0,656.0,0.77305204,1463.0,660.0,0.7801571,1764.0,962.0,0.6141434,1682.0,953.0,0.6104064,0,downdog
downdog/00000135.jpg,259.0,344.0,0.49342406,245.0,353.0,0.47027758,245.0,352.0,0.7974754,225.0,342.0,0.6647724,222.0,341.0,0.6753411,243.0,312.0,0.73987323,219.0,296.0,0.5755186,199.0,389.0,0.76595616,168.0,363.0,0.8284186,148.0,441.0,0.3635089,113.0,427.0,0.8147653,370.0,152.0,0.86260104,344.0,154.0,0.7682445,432.0,287.0,0.8841653,401.0,291.0,0.85615325,484.0,405.0,0.80183935,446.0,392.0,0.78657854,0,downdog
downdog/00000137.jpg,339.0,337.0,0.719291,324.0,340.0,0.7074717,326.0,339.0,0.6763243,293.0,312.0,0.6660739,294.0,314.0,0.5572352,320.0,234.0,0.8336665,323.0,252.0,0.5489025,238.0,342.0,0.8249179,244.0,347.0,0.7456632,155.0,419.0,0.4820977,171.0,409.0,0.82431626,476.0,90.0,0.86208725,474.0,90.0,0.769558,591.0,256.0,0.88961756,587.0,255.0,0.84259844,690.0,403.0,0.6759277,676.0,389.0,0.77242106,0,downdog
downdog/00000138.jpg,443.0,473.0,0.84608734,423.0,483.0,0.72200465,423.0,481.0,0.7944342,377.0,448.0,0.7568767,377.0,447.0,0.6275116,387.0,358.0,0.78764415,388.0,361.0,0.61164606,266.0,479.0,0.7505353,265.0,475.0,0.8388542,148.0,563.0,0.81201845,152.0,550.0,0.80947995,601.0,116.0,0.93618023,598.0,114.0,0.9154589,770.0,318.0,0.8699548,767.0,317.0,0.8662451,889.0,527.0,0.7325268,886.0,522.0,0.7346277,0,downdog
